arquivo,tipo_sistema,sem_aterramento,tipo_falta,m1,t_falta,800_I_pico_max,818_I_pico_max,820_I_pico_max,822_I_pico_max,800_I0,800_I1,800_I2,818_I0,818_I1,818_I2,820_I0,820_I1,820_I2,822_I0,822_I1,822_I2
MRT__A_818_1_-_Falta_A_py,MRT,False,A-G,0.5,0.0,209.38238319765208,192.85130815107465,10.623651173781987,5.311676184080343,,,,,,,,,,,,
MRT__A_818_2_-_Falta_A_py,MRT,False,A-G,0.5,5e-05,233.97145989995082,215.40330803643454,10.646249328854463,5.322553630044709,,,,,,,,,,,,
MRT__A_820_-_Falta_A_py,MRT,False,A-G,0.5,0.0,209.38238319765208,192.85130815107465,191.3536499146239,5.311676184080343,,,,,,,,,,,,
MRT__A_822_-_Falta_A_py,MRT,False,A-G,0.5,5e-05,203.49239702902983,187.44961888775416,185.9057905839379,183.16920287736897,,,,,,,,,,,,
MRT_sem_terra__A_818_1_-_Falta_A_py,MRT,True,A-G,0.5,0.0,3.5734092339933867,3.079127115714622,10.579966286126595,5.289347424819372,,,,,,,,,,,,
MRT_sem_terra__A_818_2_-_Falta_A_py,MRT,True,A-G,0.5,0.0,3.563207753540547,3.0788490587903943,10.584470379114522,5.289145590313916,,,,,,,,,,,,
MRT_sem_terra__A_820_-_Falta_A_py,MRT,True,A-G,0.5,0.0,3.5734092339933867,3.079127115714622,4.790339969233553,5.289347424819372,,,,,,,,,,,,
MRT_sem_terra__A_822_-_Falta_A_py,MRT,True,A-G,0.5,0.0,3.5907061181784434,3.106968799309632,4.809851951361968,9.63837783548244,,,,,,,,,,,,
MRT_SR__A_818_1_-_Falta_A_py,MRT,False,A-G,0.5,0.0,200.7136718222028,201.26614632874438,10.632923956357592,5.316468461208783,,,,,,,,,,,,
MRT_SR__A_818_2_-_Falta_A_py,MRT,False,A-G,0.5,5e-05,226.4750420352204,226.97854246511048,10.658856679615301,5.32908327221213,,,,,,,,,,,,
MRT_SR__A_820_-_Falta_A_py,MRT,False,A-G,0.5,0.0,200.7136718222028,201.26614632874438,199.69518341327105,5.316468461208783,,,,,,,,,,,,
MRT_SR__A_822_-_Falta_A_py,MRT,False,A-G,0.5,5e-05,194.62040957352033,195.18486014493152,193.57001939098234,190.70217730244434,,,,,,,,,,,,
MRT_SR_sem_terra__A_818_1_-_Falta_A_py,MRT,True,A-G,0.5,0.0,3.6532489848103165,3.3535312539407927,10.579938051423133,5.28933378777783,,,,,,,,,,,,
MRT_SR_sem_terra__A_818_2_-_Falta_A_py,MRT,True,A-G,0.5,0.0,3.650837549729947,3.3668659870811517,10.58464479326266,5.289131901113705,,,,,,,,,,,,
MRT_SR_sem_terra__A_820_-_Falta_A_py,MRT,True,A-G,0.5,0.0,3.6532489848103165,3.3535312539407927,5.059857039801353,5.28933378777783,,,,,,,,,,,,
MRT_SR_sem_terra__A_822_-_Falta_A_py,MRT,True,A-G,0.5,0.0,3.6609641880012163,3.3637568791793333,5.070462508487832,9.872330743899433,,,,,,,,,,,,
Qualificacao_sem_terra__A_818_1_-_Falta_A_py,T2F,True,A-G,0.5,0.25,14.880039657394706,23.88926316606572,10.513562574922272,10.505108998568513,2.746819306467122e-14,12.991475491747082,0.5224820997082936,4.620045786682937e-14,21.048934499436903,0.3941861402413442,1.9461266292761547e-14,9.287163071995746,0.15901181659995003,1.432144669219779e-14,9.280128766277041,0.15890922640916028
Qualificacao_sem_terra__A_818_2_-_Falta_A_py,T2F,True,A-G,0.5,0.25,14.880028037379457,23.871151975206402,10.51334505892646,10.504891671284946,1.1569307604745801e-14,12.995499075206363,0.5185521374495625,3.3179801368329e-14,21.04131178063266,0.3883125027625139,1.2560739669470201e-14,9.287012859841793,0.1591989138314565,2.6148940751075076e-14,9.279978668264606,0.15909618093596928
Qualificacao_sem_terra__A_820_-_Falta_A_py,T2F,True,A-G,0.5,0.25,14.87934482561885,23.888070261980637,10.513289491647106,10.504836113894559,2.4174778843910106e-14,12.991179433629938,0.5221494845567399,2.2993740646564238e-14,21.048449581739078,0.39366569801614965,1.3528330643921842e-14,9.287050892191465,0.15889870710649615,9.478527943911128e-15,9.280016671241947,0.15879620192162047
Qualificacao_sem_terra__A_822_-_Falta_A_py,T2F,True,A-G,0.5,0.25,14.879243185724013,23.887900577305313,10.530069370696697,10.521614057126165,3.1527553875640235e-14,12.991138167423971,0.5221030581733391,3.655825044867131e-14,21.04838218576687,0.3935936043045874,1.949951169430988e-14,9.293992755643874,0.16443515318066512,7.105427357601002e-15,9.28695688735838,0.16433511876703594
Qualificacao_SR_sem_terra__A_818_1_-_Falta_A_py,T2F,True,A-G,0.5,0.25,13.328732009720937,22.741086124802667,10.03478307849989,10.03120997931846,2.0489288826014577e-14,11.77135471610859,0.09040400871950274,3.438880847220485e-14,20.097062288562714,0.05176380684338639,1.6833786484262107e-14,8.867429843123208,0.02158960534284482,1.1934538910164824e-14,8.86071322195191,0.021579666289530196
Qualificacao_SR_sem_terra__A_818_2_-_Falta_A_py,T2F,True,A-G,0.5,0.25,13.329422458012967,22.72376445362577,10.034747951597227,10.031174860836018,1.8456286772669558e-14,11.775157003150444,0.0871796438459561,4.596078982957633e-14,20.089772456719643,0.04830056420481186,1.2084159825059348e-14,8.8672882743026,0.02175352633505621,1.6877986787424515e-14,8.860571760646943,0.021743548538100975
Qualificacao_SR_sem_terra__A_820_-_Falta_A_py,T2F,True,A-G,0.5,0.25,13.328735346586523,22.739952207770404,10.034787144731968,10.031214043101862,4.046014499914536e-14,11.77108945960952,0.09008694815204311,5.068759529799322e-14,20.096602269747027,0.05137740418655846,1.9051605381525114e-14,8.867323721945683,0.021628319160412097,1.2076904249607843e-14,8.860607180886724,0.021618252648177756
