arquivo,tipo_sistema,sem_aterramento,tipo_falta,m1,t_falta,800_I_pico_max,818_I_pico_max,820_I_pico_max,822_I_pico_max,800_I0,800_I1,800_I2,818_I0,818_I1,818_I2,820_I0,820_I1,820_I2,822_I0,822_I1,822_I2
Qualificacao__R_818_1_-_Falta_AC_py,T2F,False,AC,0.5,0.25,94.45912073869322,147.46093912538097,9.449037826187679,9.445464291324035,0.7631715967575163,51.36502072688083,38.59133284892466,8.428080561703687e-14,87.7054648609853,67.33538992082197,9.126750572165346e-14,7.748871449993145,1.7073773672553292,5.5503058349065254e-14,7.743002145917833,1.7060853289960305
Qualificacao__R_818_2_-_Falta_AC_py,T2F,False,AC,0.5,0.25,128.69967158715292,21.44004161260855,9.448961856367049,9.445388349985821,1.029710775784662,69.93738233975006,57.23643175186001,8.831558793521971e-14,15.39899371221936,5.696302266946012,9.674906955893878e-14,6.794009503021511,2.5211787442232825,4.74030418403622e-14,6.788863635641157,2.519270517228198
Qualificacao__R_818_2_Meio_-_Falta_AC__m10p01_py,T2F,False,AC,0.01,0.25,15.005538014219315,23.831987606360585,10.496152707999489,10.487682595627913,0.21555464508389066,12.965356171258735,0.5000303730327532,4.7899458423133207e-14,21.011467578569025,0.34981512590306596,3.3755973574849027e-15,9.27386676400784,0.14037449093886978,1.4482725902850536e-14,9.266828101837762,0.14027922218707484
Qualificacao__R_818_2_Meio_-_Falta_AC__m10p50_py,T2F,False,AC,0.5,0.25,15.0053273523478,23.83163587467584,10.496033653054127,10.487586147536112,0.21555668242221238,12.965216927922881,0.49996664015149866,4.1739136114380216e-14,21.01124241361465,0.34971050489674266,3.0315391380987954e-14,9.273790546714466,0.1403397569354098,2.1620451242961953e-14,9.266766380632406,0.14025120197399896
Qualificacao__R_818_2_Meio_-_Falta_AC__m10p99_py,T2F,False,AC,0.99,0.25,15.005113610430215,23.831289783555523,10.495917478345518,10.487492577513468,0.21555188840901643,12.965081127256987,0.49990240273250836,4.1363651340430316e-14,21.01102030312954,0.34960859699234026,8.70737033282198e-15,9.273715899088213,0.1403063857309187,1.49824815414945e-14,9.266706227673373,0.1402245432528918
Qualificacao__R_820_-_Falta_AC_py,T2F,False,AC,0.5,0.25,78.27022805453743,122.01386280398721,9.464312518592102,9.457152035253115,0.6397808450466187,44.500093293030666,31.253208793975848,3.9766708554913713e-13,75.85618950640794,54.60576077500176,6.785706377213095e-14,7.3751739818114705,2.3460866574980517,2.2890586350946413e-14,7.3695880109363845,2.3443115463919577
Qualificacao__R_820_Meio_-_Falta_AC__m10p01_py,T2F,False,AC,0.01,0.25,94.26816678990927,147.1610310118259,9.449086865954072,9.445503972154807,0.7617078352705259,51.28452008448045,38.5048549661647,1.3433663935309168e-13,87.5665073404944,67.18534795246633,5.586038968900555e-15,7.744285051234572,1.7149907149455712,1.9147427561256946e-13,7.738407199088062,1.7136909398590685
Qualificacao__R_820_Meio_-_Falta_AC__m10p50_py,T2F,False,AC,0.5,0.25,85.7150770494201,133.73071929897395,9.449013064813506,9.445439539238556,0.6961611423855913,47.65277096554709,34.61745699361129,8.87129552478015e-13,81.29805783103156,60.44141255544544,1.1420415032241932e-13,7.540958123834941,2.0552781760566687,1.7256229642612945e-13,7.535246407011196,2.053722907394272
Qualificacao__R_820_Meio_-_Falta_AC__m10p99_py,T2F,False,AC,0.99,0.25,78.40457099574654,122.22456563970258,9.46184788780629,9.454706008667337,0.6408135276151797,44.558128692881475,31.315210814168157,2.6612436763007746e-14,75.9563873065371,54.71331462025583,6.431104162476358e-14,7.37809193932343,2.3407240521458483,5.611088596652836e-14,7.372515275968289,2.338956112262924
Qualificacao__R_822_-_Falta_AC_py,T2F,False,AC,0.5,0.15955,74.9213095656054,116.79791681145592,108.68870601249378,108.6847941329276,0.22034224726099746,14.297268531348925,1.1602099444984815,1.6161701978437983e-14,23.46117429857043,2.301605640460537,1.9198264118445578e-14,11.903071958650791,2.6031196784107715,1.3647667377389076e-14,11.899734563652473,2.603251813430052
Qualificacao__R_822_Meio_-_Falta_AC__m10p01_py,T2F,False,AC,0.01,0.25,78.2358846496357,121.96050404781693,114.06539265057467,9.45791716873189,0.639525697065017,44.48517244618888,31.237580283876753,2.34995889760321e-13,75.83043826330794,54.57861739909302,2.1872203851321493e-13,66.58609881722137,57.19663177801063,3.943374375600162e-14,7.368701822356772,2.3459876118350027
Qualificacao__R_822_Meio_-_Falta_AC__m10p50_py,T2F,False,AC,0.5,0.25,76.55801312818683,119.34692980984762,111.34385662466072,9.491989881377377,0.6269270853384724,43.75239121917456,30.477907257022853,2.2814955595596974e-13,74.56657091572485,53.260058554020155,1.9525565558317273e-13,65.25908479449595,55.818784272172564,5.0850746268887585e-14,7.324391281124975,2.425185820484914
Qualificacao__R_822_Meio_-_Falta_AC__m10p99_py,T2F,False,AC,0.99,0.25,74.95261833972614,116.84652062794342,108.74013893435664,9.525961708804362,0.6148664833534645,43.04892024436158,29.749143685187796,3.7911777429455527e-13,73.353176491151,51.99516834749941,7.674967120774517e-14,63.985542937052394,54.49702072652861,1.5411395714083106e-13,7.282545345296938,2.500922608199936
Qualificacao_SR__R_818_1_-_Falta_AC_py,T2F,False,AC,0.5,0.25,88.97710278986955,143.1449030914477,10.034749391608896,10.031176297913392,0.009284765245782386,47.800808918027755,36.301356906135574,1.8930867814700725e-13,85.21937650625864,65.79349556950584,4.6359548214675265e-14,7.433531377474332,1.5966746305404425,9.764398702902565e-14,7.427900754000326,1.5954656069996787
Qualificacao_SR__R_818_2_-_Falta_AC_py,T2F,False,AC,0.5,0.25,122.01274505309051,22.685998917030417,10.03472532216823,10.03115222782743,0.008595826881721998,65.58552706927357,54.20808050782994,2.0816518220459448e-13,14.772217776295617,5.328081907654993,1.4834972711082345e-13,6.517681248711958,2.358756325372706,1.2419836050073768e-13,6.512744515128355,2.3569706397340693
Qualificacao_SR__R_818_2_Meio_-_Falta_AC__m10p01_py,T2F,False,AC,0.01,0.25,13.317318999459456,22.72522246881353,10.03479302716845,10.031216321496988,0.01072781361798521,11.767529634027298,0.08662457746128417,4.2223520054579607e-14,20.090544959639548,0.048196308223633966,2.020592348935626e-14,8.867607393802606,0.02158491338556748,1.590200445633128e-14,8.86087692487877,0.021574652742846024
Qualificacao_SR__R_818_2_Meio_-_Falta_AC__m10p50_py,T2F,False,AC,0.5,0.25,13.317266746808842,22.724887151764058,10.034773597934308,10.0312005048978,0.01072781619855614,11.767401645166652,0.08656894351911314,3.7341069555972605e-14,20.090330615795047,0.04811995682091388,1.7349186175370347e-14,8.867534793042916,0.021583348337236567,1.1712136709275758e-14,8.860818092615553,0.021573534008504508
Qualificacao_SR__R_818_2_Meio_-_Falta_AC__m10p99_py,T2F,False,AC,0.99,0.25,13.317214970846928,22.724557290829686,10.034754272089442,10.03118479179577,0.01072781873732528,11.767275404407057,0.08651466998592733,4.4801927946562956e-14,20.09011930393309,0.04804565670360462,2.9813938648905443e-14,8.86746373292372,0.02158194703224691,1.9611565896202395e-14,8.860760799752313,0.021572562564641823
Qualificacao_SR__R_820_-_Falta_AC_py,T2F,False,AC,0.5,0.25,73.65457151559727,118.3151614442826,10.034741387431195,10.031168293369545,0.009558324526496673,41.31305315252454,29.406392126415284,1.0826591748216809e-13,73.55842606936834,53.3050720153115,1.0712485654913822e-13,7.062244710661099,2.2251013352665217,9.713728912503278e-14,7.056895586640173,2.2234172647349477
Qualificacao_SR__R_820_Meio_-_Falta_AC__m10p01_py,T2F,False,AC,0.01,0.25,88.79479744441936,142.84936790888847,10.034768739941459,10.031192033602533,0.00928795582281351,47.724610615824204,36.21996224051976,2.2363682788432985e-13,85.08241130949173,65.64605476337358,6.911577994330731e-14,7.4289627569135845,1.6042028756807307,6.169768611980637e-14,7.423324131080043,1.602986641229822
Qualificacao_SR__R_820_Meio_-_Falta_AC__m10p50_py,T2F,False,AC,0.5,0.25,80.63842057874864,129.6295647421413,10.034745457228732,10.031172363266277,0.009432330223280713,44.290071503267626,32.56447758709139,4.3094708182254164e-14,78.9093931818018,59.02497429458464,7.66107876611122e-14,7.226752380747373,1.9397353616008213,1.0639085733355819e-13,7.221278480988289,1.9382669223612587
Qualificacao_SR__R_820_Meio_-_Falta_AC__m10p99_py,T2F,False,AC,0.99,0.25,73.78243887432647,118.52215784916882,10.034722145413049,10.031152663948708,0.009555999734805571,41.36782473784565,29.46454994543776,2.9081179260346494e-13,73.65689068556473,53.41041267995353,3.848887019377639e-14,7.065138589494165,2.219850419537955,3.694224365184592e-14,7.059798234525995,2.218173055571928
Qualificacao_SR__R_822_-_Falta_AC_py,T2F,False,AC,0.5,0.1595,70.46716933813603,113.19078994229132,105.45898360207468,105.45524737548021,0.012022325364233285,12.96916516177997,1.2502860552835273,4.9977084032115215e-14,22.362933654334544,2.31886150555984,1.2976054009553149e-14,11.303607560355006,2.493754003468818,1.4074506684859869e-14,11.300411901854234,2.4938208292852764
Qualificacao_SR__R_822_Meio_-_Falta_AC__m10p01_py,T2F,False,AC,0.01,0.25,73.62187508669194,118.26271892883257,110.73421414896201,10.03118408779119,0.00955891022772102,41.298960913035096,29.391715654443807,2.4823840933142837e-13,73.53311069317888,53.27848184940078,3.615321380928016e-14,64.6640899119291,55.71057061786278,3.539984990857197e-14,7.056019373707565,2.2250562567585805
Qualificacao_SR__R_822_Meio_-_Falta_AC__m10p50_py,T2F,False,AC,0.5,0.25,72.02460248910334,115.69452099222767,108.0634758250166,10.031167196409612,0.00958761378885039,40.6070726006854,28.678461593010898,3.043942925063671e-13,72.29086000931746,51.98665892681048,6.65080325825204e-14,63.36195789842512,54.360663383651186,9.994232902377632e-14,7.012298916774263,2.3025047149619238
Qualificacao_SR__R_822_Meio_-_Falta_AC__m10p99_py,T2F,False,AC,0.99,0.25,70.4969608814305,113.23853132170147,105.50942588908896,10.031150403027242,0.009615186917796989,39.943073193518856,27.994469992969844,7.747433641925582e-14,71.09860778219539,50.747843396333124,3.757156856303919e-14,62.112706073621865,53.066142332071514,2.0309766178341343e-14,6.9710362565286506,2.3765020405860278
