arquivo,tipo_sistema,condicao_aterramento,tipo_falta,local_falta,m1
MRT__A_818_1_-_Falta_A_py,MRT,COM Aterramento,A-G,Barra 818.1,0.5
MRT_SR__A_818_1_-_Falta_A_py,MRT,COM Aterramento,A-G,Barra 818.1,0.5
MRT__A_818_2_-_Falta_A_py,MRT,COM Aterramento,A-G,Barra 818.2,0.5
MRT_SR__A_818_2_-_Falta_A_py,MRT,COM Aterramento,A-G,Barra 818.2,0.5
MRT__A_820_-_Falta_A_py,MRT,COM Aterramento,A-G,Barra 820,0.5
MRT_SR__A_820_-_Falta_A_py,MRT,COM Aterramento,A-G,Barra 820,0.5
MRT__A_822_-_Falta_A_py,MRT,COM Aterramento,A-G,Barra 822,0.5
MRT_SR__A_822_-_Falta_A_py,MRT,COM Aterramento,A-G,Barra 822,0.5
MRT__Sem_Falta_py,MRT,COM Aterramento,Normal,Indefinido,0.5
MRT_SR__Sem_Falta_py,MRT,COM Aterramento,Normal,Indefinido,0.5
MRT_sem_terra__A_818_1_-_Falta_A_py,MRT,SEM Aterramento,A-G,Barra 818.1,0.5
MRT_SR_sem_terra__A_818_1_-_Falta_A_py,MRT,SEM Aterramento,A-G,Barra 818.1,0.5
MRT_sem_terra__A_818_2_-_Falta_A_py,MRT,SEM Aterramento,A-G,Barra 818.2,0.5
MRT_SR_sem_terra__A_818_2_-_Falta_A_py,MRT,SEM Aterramento,A-G,Barra 818.2,0.5
MRT_sem_terra__A_820_-_Falta_A_py,MRT,SEM Aterramento,A-G,Barra 820,0.5
MRT_SR_sem_terra__A_820_-_Falta_A_py,MRT,SEM Aterramento,A-G,Barra 820,0.5
MRT_sem_terra__A_822_-_Falta_A_py,MRT,SEM Aterramento,A-G,Barra 822,0.5
MRT_SR_sem_terra__A_822_-_Falta_A_py,MRT,SEM Aterramento,A-G,Barra 822,0.5
MRT_sem_terra__Sem_Falta_py,MRT,SEM Aterramento,Normal,Indefinido,0.5
MRT_SR_sem_terra__Sem_Falta_py,MRT,SEM Aterramento,Normal,Indefinido,0.5
Qualificacao__R_818_1_-_Falta_AB_py,T2F,COM Aterramento,AB,Barra 818.1,0.5
Qualificacao_SR__R_818_1_-_Falta_AB_py,T2F,COM Aterramento,AB,Barra 818.1,0.5
Qualificacao__R_818_2_-_Falta_AB_py,T2F,COM Aterramento,AB,Barra 818.2,0.5
Qualificacao_SR__R_818_2_-_Falta_AB_py,T2F,COM Aterramento,AB,Barra 818.2,0.5
Qualificacao__R_818_2_Meio_-_Falta_AB__m10p01_py,T2F,COM Aterramento,AB,Barra 818.2.Meio,0.01
Qualificacao_SR__R_818_2_Meio_-_Falta_AB__m10p01_py,T2F,COM Aterramento,AB,Barra 818.2.Meio,0.01
Qualificacao__R_818_2_Meio_-_Falta_AB__m10p50_py,T2F,COM Aterramento,AB,Barra 818.2.Meio,0.5
Qualificacao_SR__R_818_2_Meio_-_Falta_AB__m10p50_py,T2F,COM Aterramento,AB,Barra 818.2.Meio,0.5
Qualificacao__R_818_2_Meio_-_Falta_AB__m10p99_py,T2F,COM Aterramento,AB,Barra 818.2.Meio,0.99
Qualificacao_SR__R_818_2_Meio_-_Falta_AB__m10p99_py,T2F,COM Aterramento,AB,Barra 818.2.Meio,0.99
Qualificacao__R_820_-_Falta_AB_py,T2F,COM Aterramento,AB,Barra 820,0.5
Qualificacao_SR__R_820_-_Falta_AB_py,T2F,COM Aterramento,AB,Barra 820,0.5
Qualificacao__R_820_Meio_-_Falta_AB__m10p01_py,T2F,COM Aterramento,AB,Barra 820.Meio,0.01
Qualificacao_SR__R_820_Meio_-_Falta_AB__m10p01_py,T2F,COM Aterramento,AB,Barra 820.Meio,0.01
Qualificacao__R_820_Meio_-_Falta_AB__m10p50_py,T2F,COM Aterramento,AB,Barra 820.Meio,0.5
Qualificacao_SR__R_820_Meio_-_Falta_AB__m10p50_py,T2F,COM Aterramento,AB,Barra 820.Meio,0.5
Qualificacao__R_820_Meio_-_Falta_AB__m10p99_py,T2F,COM Aterramento,AB,Barra 820.Meio,0.99
Qualificacao_SR__R_820_Meio_-_Falta_AB__m10p99_py,T2F,COM Aterramento,AB,Barra 820.Meio,0.99
Qualificacao__R_822_-_Falta_AB_py,T2F,COM Aterramento,AB,Barra 822,0.5
Qualificacao_SR__R_822_-_Falta_AB_py,T2F,COM Aterramento,AB,Barra 822,0.5
Qualificacao__R_822_Meio_-_Falta_AB__m10p01_py,T2F,COM Aterramento,AB,Barra 822.Meio,0.01
Qualificacao_SR__R_822_Meio_-_Falta_AB__m10p01_py,T2F,COM Aterramento,AB,Barra 822.Meio,0.01
Qualificacao__R_822_Meio_-_Falta_AB__m10p50_py,T2F,COM Aterramento,AB,Barra 822.Meio,0.5
Qualificacao_SR__R_822_Meio_-_Falta_AB__m10p50_py,T2F,COM Aterramento,AB,Barra 822.Meio,0.5
Qualificacao__R_822_Meio_-_Falta_AB__m10p99_py,T2F,COM Aterramento,AB,Barra 822.Meio,0.99
Qualificacao_SR__R_822_Meio_-_Falta_AB__m10p99_py,T2F,COM Aterramento,AB,Barra 822.Meio,0.99
Qualificacao__R_818_1_-_Falta_ABC_py,T2F,COM Aterramento,ABC,Barra 818.1,0.5
Qualificacao_SR__R_818_1_-_Falta_ABC_py,T2F,COM Aterramento,ABC,Barra 818.1,0.5
Qualificacao__R_818_2_-_Falta_ABC_py,T2F,COM Aterramento,ABC,Barra 818.2,0.5
Qualificacao_SR__R_818_2_-_Falta_ABC_py,T2F,COM Aterramento,ABC,Barra 818.2,0.5
Qualificacao__R_818_2_Meio_-_Falta_ABC__m10p01_py,T2F,COM Aterramento,ABC,Barra 818.2.Meio,0.01
Qualificacao_SR__R_818_2_Meio_-_Falta_ABC__m10p01_py,T2F,COM Aterramento,ABC,Barra 818.2.Meio,0.01
Qualificacao__R_818_2_Meio_-_Falta_ABC__m10p50_py,T2F,COM Aterramento,ABC,Barra 818.2.Meio,0.5
Qualificacao_SR__R_818_2_Meio_-_Falta_ABC__m10p50_py,T2F,COM Aterramento,ABC,Barra 818.2.Meio,0.5
Qualificacao__R_818_2_Meio_-_Falta_ABC__m10p99_py,T2F,COM Aterramento,ABC,Barra 818.2.Meio,0.99
Qualificacao_SR__R_818_2_Meio_-_Falta_ABC__m10p99_py,T2F,COM Aterramento,ABC,Barra 818.2.Meio,0.99
Qualificacao__R_820_-_Falta_ABC_py,T2F,COM Aterramento,ABC,Barra 820,0.5
Qualificacao_SR__R_820_-_Falta_ABC_py,T2F,COM Aterramento,ABC,Barra 820,0.5
Qualificacao__R_820_Meio_-_Falta_ABC__m10p01_py,T2F,COM Aterramento,ABC,Barra 820.Meio,0.01
Qualificacao_SR__R_820_Meio_-_Falta_ABC__m10p01_py,T2F,COM Aterramento,ABC,Barra 820.Meio,0.01
Qualificacao__R_820_Meio_-_Falta_ABC__m10p50_py,T2F,COM Aterramento,ABC,Barra 820.Meio,0.5
Qualificacao_SR__R_820_Meio_-_Falta_ABC__m10p50_py,T2F,COM Aterramento,ABC,Barra 820.Meio,0.5
Qualificacao__R_820_Meio_-_Falta_ABC__m10p99_py,T2F,COM Aterramento,ABC,Barra 820.Meio,0.99
Qualificacao_SR__R_820_Meio_-_Falta_ABC__m10p99_py,T2F,COM Aterramento,ABC,Barra 820.Meio,0.99
Qualificacao__R_822_-_Falta_ABC_py,T2F,COM Aterramento,ABC,Barra 822,0.5
Qualificacao_SR__R_822_-_Falta_ABC_py,T2F,COM Aterramento,ABC,Barra 822,0.5
Qualificacao__R_822_Meio_-_Falta_ABC__m10p01_py,T2F,COM Aterramento,ABC,Barra 822.Meio,0.01
Qualificacao_SR__R_822_Meio_-_Falta_ABC__m10p01_py,T2F,COM Aterramento,ABC,Barra 822.Meio,0.01
Qualificacao__R_822_Meio_-_Falta_ABC__m10p50_py,T2F,COM Aterramento,ABC,Barra 822.Meio,0.5
Qualificacao_SR__R_822_Meio_-_Falta_ABC__m10p50_py,T2F,COM Aterramento,ABC,Barra 822.Meio,0.5
Qualificacao__R_822_Meio_-_Falta_ABC__m10p99_py,T2F,COM Aterramento,ABC,Barra 822.Meio,0.99
Qualificacao_SR__R_822_Meio_-_Falta_ABC__m10p99_py,T2F,COM Aterramento,ABC,Barra 822.Meio,0.99
Qualificacao__R_818_1_-_Falta_AC_py,T2F,COM Aterramento,AC,Barra 818.1,0.5
Qualificacao_SR__R_818_1_-_Falta_AC_py,T2F,COM Aterramento,AC,Barra 818.1,0.5
Qualificacao__R_818_2_-_Falta_AC_py,T2F,COM Aterramento,AC,Barra 818.2,0.5
Qualificacao_SR__R_818_2_-_Falta_AC_py,T2F,COM Aterramento,AC,Barra 818.2,0.5
Qualificacao__R_818_2_Meio_-_Falta_AC__m10p01_py,T2F,COM Aterramento,AC,Barra 818.2.Meio,0.01
Qualificacao_SR__R_818_2_Meio_-_Falta_AC__m10p01_py,T2F,COM Aterramento,AC,Barra 818.2.Meio,0.01
Qualificacao__R_818_2_Meio_-_Falta_AC__m10p50_py,T2F,COM Aterramento,AC,Barra 818.2.Meio,0.5
Qualificacao_SR__R_818_2_Meio_-_Falta_AC__m10p50_py,T2F,COM Aterramento,AC,Barra 818.2.Meio,0.5
Qualificacao__R_818_2_Meio_-_Falta_AC__m10p99_py,T2F,COM Aterramento,AC,Barra 818.2.Meio,0.99
Qualificacao_SR__R_818_2_Meio_-_Falta_AC__m10p99_py,T2F,COM Aterramento,AC,Barra 818.2.Meio,0.99
Qualificacao__R_820_-_Falta_AC_py,T2F,COM Aterramento,AC,Barra 820,0.5
Qualificacao_SR__R_820_-_Falta_AC_py,T2F,COM Aterramento,AC,Barra 820,0.5
Qualificacao__R_820_Meio_-_Falta_AC__m10p01_py,T2F,COM Aterramento,AC,Barra 820.Meio,0.01
Qualificacao_SR__R_820_Meio_-_Falta_AC__m10p01_py,T2F,COM Aterramento,AC,Barra 820.Meio,0.01
Qualificacao__R_820_Meio_-_Falta_AC__m10p50_py,T2F,COM Aterramento,AC,Barra 820.Meio,0.5
Qualificacao_SR__R_820_Meio_-_Falta_AC__m10p50_py,T2F,COM Aterramento,AC,Barra 820.Meio,0.5
Qualificacao__R_820_Meio_-_Falta_AC__m10p99_py,T2F,COM Aterramento,AC,Barra 820.Meio,0.99
Qualificacao_SR__R_820_Meio_-_Falta_AC__m10p99_py,T2F,COM Aterramento,AC,Barra 820.Meio,0.99
Qualificacao__R_822_-_Falta_AC_py,T2F,COM Aterramento,AC,Barra 822,0.5
Qualificacao_SR__R_822_-_Falta_AC_py,T2F,COM Aterramento,AC,Barra 822,0.5
Qualificacao__R_822_Meio_-_Falta_AC__m10p01_py,T2F,COM Aterramento,AC,Barra 822.Meio,0.01
Qualificacao_SR__R_822_Meio_-_Falta_AC__m10p01_py,T2F,COM Aterramento,AC,Barra 822.Meio,0.01
Qualificacao__R_822_Meio_-_Falta_AC__m10p50_py,T2F,COM Aterramento,AC,Barra 822.Meio,0.5
Qualificacao_SR__R_822_Meio_-_Falta_AC__m10p50_py,T2F,COM Aterramento,AC,Barra 822.Meio,0.5
Qualificacao__R_822_Meio_-_Falta_AC__m10p99_py,T2F,COM Aterramento,AC,Barra 822.Meio,0.99
Qualificacao_SR__R_822_Meio_-_Falta_AC__m10p99_py,T2F,COM Aterramento,AC,Barra 822.Meio,0.99
Qualificacao__R_818_1_-_Falta_BC_py,T2F,COM Aterramento,BC,Barra 818.1,0.5
Qualificacao_SR__R_818_1_-_Falta_BC_py,T2F,COM Aterramento,BC,Barra 818.1,0.5
Qualificacao__R_818_2_-_Falta_BC_py,T2F,COM Aterramento,BC,Barra 818.2,0.5
Qualificacao_SR__R_818_2_-_Falta_BC_py,T2F,COM Aterramento,BC,Barra 818.2,0.5
Qualificacao__R_818_2_Meio_-_Falta_BC__m10p01_py,T2F,COM Aterramento,BC,Barra 818.2.Meio,0.01
Qualificacao_SR__R_818_2_Meio_-_Falta_BC__m10p01_py,T2F,COM Aterramento,BC,Barra 818.2.Meio,0.01
Qualificacao__R_818_2_Meio_-_Falta_BC__m10p50_py,T2F,COM Aterramento,BC,Barra 818.2.Meio,0.5
Qualificacao_SR__R_818_2_Meio_-_Falta_BC__m10p50_py,T2F,COM Aterramento,BC,Barra 818.2.Meio,0.5
Qualificacao__R_818_2_Meio_-_Falta_BC__m10p99_py,T2F,COM Aterramento,BC,Barra 818.2.Meio,0.99
Qualificacao_SR__R_818_2_Meio_-_Falta_BC__m10p99_py,T2F,COM Aterramento,BC,Barra 818.2.Meio,0.99
Qualificacao__R_820_-_Falta_BC_py,T2F,COM Aterramento,BC,Barra 820,0.5
Qualificacao_SR__R_820_-_Falta_BC_py,T2F,COM Aterramento,BC,Barra 820,0.5
