arquivo,tipo_sistema,com_regulador,sem_aterramento,condicao_aterramento,tipo_falta,local_falta,m1,t_falta,800_I_pico_A,800_I_pico_B,800_I_pico_C,800_I_pico_max,800_V_min,800_V_max,818_I_pico_A,818_I_pico_B,818_I_pico_C,818_I_pico_max,818_V_min,818_V_max,820_I_pico_A,820_I_pico_B,820_I_pico_C,820_I_pico_max,820_V_min,820_V_max,822_I_pico_A,822_I_pico_B,822_I_pico_C,822_I_pico_max,822_V_min,822_V_max,800_I0,800_I1,800_I2,818_I0,818_I1,818_I2,820_I0,820_I1,820_I2,822_I0,822_I1,822_I2
MRT__A_818_1_-_Falta_A_py,MRT,False,False,COM Aterramento,A-G,Barra 818.1,0.5,0.0,209.38238319765208,1.6587713340902241,1.6567785530128796,209.38238319765208,269.9310374159047,17690.78465632087,192.85130815107465,1.0555004588778906e-06,1.0555004588778906e-06,192.85130815107465,0.0,362.07608877806086,10.623651173781987,1.0555004588778906e-06,1.0555004588778906e-06,10.623651173781987,0.0,216.98568029069207,5.311676184080343,1.0555004588778906e-06,1.0555004588778894e-06,5.311676184080343,0.0,541.382447121472,,,,,,,,,,,,
MRT__A_818_2_-_Falta_A_py,MRT,False,False,COM Aterramento,A-G,Barra 818.2,0.5,5e-05,233.97145989995082,1.669073455911883,1.6583173387654868,233.97145989995082,267.0471914907877,17689.6560677859,215.40330803643454,9.787904122057731e-07,9.787904122057731e-07,215.40330803643454,0.0,165.95212510925407,10.646249328854463,9.787904122057731e-07,9.787904122057731e-07,10.646249328854463,0.0,1833.3477383828329,5.322553630044709,9.787904122057731e-07,9.78790412205774e-07,5.322553630044709,0.0,2113.719438677116,,,,,,,,,,,,
MRT__A_820_-_Falta_A_py,MRT,False,False,COM Aterramento,A-G,Barra 820,0.5,0.0,209.38238319765208,1.6587713340902241,1.6567785530128796,209.38238319765208,269.9310374159047,17690.78465632087,192.85130815107465,1.0555004588778906e-06,1.0555004588778906e-06,192.85130815107465,0.0,362.07608877806086,191.3536499146239,1.0555004588778906e-06,1.0555004588778906e-06,191.3536499146239,0.0,216.98568029069207,5.311676184080343,1.0555004588778906e-06,1.0555004588778894e-06,5.311676184080343,0.0,541.382447121472,,,,,,,,,,,,
MRT__A_822_-_Falta_A_py,MRT,False,False,COM Aterramento,A-G,Barra 822,0.5,5e-05,203.49239702902983,1.6562827884239666,1.6594091791519257,203.49239702902983,271.3112325712589,17691.000035371217,187.44961888775416,1.0741890498473849e-06,1.0741890498473849e-06,187.44961888775416,0.0,509.83174963577335,185.9057905839379,1.0741890498473849e-06,1.0741890498473849e-06,185.9057905839379,0.0,538.4207146548516,183.16920287736897,1.0741890498473849e-06,1.0741890498473847e-06,183.16920287736897,0.0,193.54761149048127,,,,,,,,,,,,
MRT__Sem_Falta_py,MRT,False,False,COM Aterramento,Normal,Indefinido,0.5,5e-05,14.861901742090858,2.415608761997355,2.6032728339557982,14.861901742090858,286.44882307531975,17695.775561982482,14.598416941545766,1.7635070856243816e-06,1.7635070856243816e-06,14.598416941545766,0.0,1517.5881664987453,11.613134852222009,1.7635070856243816e-06,1.7635070856243816e-06,11.613134852222009,0.0,2708.754071071041,5.827090207648753,1.7635070856243816e-06,1.763507085624381e-06,5.827090207648753,0.0,2964.8884166190473,,,,,,,,,,,,
MRT_sem_terra__A_818_1_-_Falta_A_py,MRT,False,True,SEM Aterramento,A-G,Barra 818.1,0.5,0.0,3.5734092339933867,2.3735982981480133,2.517573930083774,3.5734092339933867,337.4868031132915,17598.11226430577,3.079127115714622,7.492658119090058e-08,7.492658119090058e-08,3.079127115714622,0.0,374.3737214513003,10.579966286126595,7.492658119090058e-08,7.492658119090058e-08,10.579966286126595,0.0,221.79697787039495,5.289347424819372,7.492658119090058e-08,7.492658119090058e-08,5.289347424819372,0.0,546.2761806723342,,,,,,,,,,,,
MRT_sem_terra__A_818_2_-_Falta_A_py,MRT,False,True,SEM Aterramento,A-G,Barra 818.2,0.5,0.0,3.563207753540547,2.374060126203475,2.5155299790104655,3.563207753540547,332.5355892431488,17598.688145619282,3.0788490587903943,6.912615083407377e-08,6.912615083407377e-08,3.0788490587903943,0.0,170.4236330537769,10.584470379114522,6.912615083407377e-08,6.912615083407377e-08,10.584470379114522,0.0,1845.276523127337,5.289145590313916,6.912615083407377e-08,6.912615083407377e-08,5.289145590313916,0.0,2126.6091440514188,,,,,,,,,,,,
MRT_sem_terra__A_820_-_Falta_A_py,MRT,False,True,SEM Aterramento,A-G,Barra 820,0.5,0.0,3.5734092339933867,2.3735982981480133,2.517573930083774,3.5734092339933867,337.4868031132915,17598.11226430577,3.079127115714622,7.492658119090058e-08,7.492658119090058e-08,3.079127115714622,0.0,374.3737214513003,4.790339969233553,7.492658119090058e-08,7.492658119090058e-08,4.790339969233553,0.0,221.79697787039495,5.289347424819372,7.492658119090058e-08,7.492658119090058e-08,5.289347424819372,0.0,546.2761806723342,,,,,,,,,,,,
MRT_sem_terra__A_822_-_Falta_A_py,MRT,False,True,SEM Aterramento,A-G,Barra 822,0.5,0.0,3.5907061181784434,2.373478016804205,2.524653740568188,3.5907061181784434,340.19800453440956,17597.76133729687,3.106968799309632,7.963115319551999e-08,7.963115319551999e-08,3.106968799309632,0.0,529.3752990212366,4.809851951361968,7.963115319551999e-08,7.963115319551999e-08,4.809851951361968,0.0,549.5230115606238,9.63837783548244,7.963115319551999e-08,7.963115319551999e-08,9.63837783548244,0.0,198.77619119090858,,,,,,,,,,,,
MRT_sem_terra__Sem_Falta_py,MRT,False,True,SEM Aterramento,Normal,Indefinido,0.5,5e-05,11.833287424405144,5.338555791514257,7.300468534910149,11.833287424405144,357.08416041420344,17597.53670395568,14.238653328125533,1.3188188399971664e-05,1.3188188399971664e-05,14.238653328125533,0.0,1578.270371799407,10.350778889037345,1.3188188399971664e-05,1.3188188399971664e-05,10.350778889037345,0.0,2783.553740977172,5.304996083198677,1.3188188399971664e-05,1.3188188399971664e-05,5.304996083198677,0.0,3040.342049253179,,,,,,,,,,,,
