Curva;Caso;Icc_Antes_Trafo(A);Icc_Depois_Trafo(A);Tempo_Antes(s);Tempo_Depois(s);Status
IEC_C1;Com Regulador e Com Terra;68.47;109.16;1.6855;1.8253;Falha Coord (M < J)
IEC_C1;Sem Terra;69.24;110.69;1.6702;1.8030;Falha Coord (M < J)
IEC_C1;Sem Regulador;65.41;104.39;1.7513;1.9008;Falha Coord (M < J)
IEC_C1;Sem Regulador e Sem Terra;65.41;104.39;1.7513;1.9008;Falha Coord (M < J)
IEC_C2;Com Regulador e Com Terra;68.47;109.16;1.6711;1.9114;Falha Coord (M < J)
IEC_C2;Sem Terra;69.24;110.69;1.6451;1.8729;Falha Coord (M < J)
IEC_C2;Sem Regulador;65.41;104.39;1.7837;2.0428;Falha Coord (M < J)
IEC_C2;Sem Regulador e Sem Terra;65.41;104.39;1.7837;2.0428;Falha Coord (M < J)
IEC_C3;Com Regulador e Com Terra;68.47;109.16;2.2387;2.7500;Falha Coord (M < J)
IEC_C3;Sem Terra;69.24;110.69;2.1850;2.6663;Falha Coord (M < J)
IEC_C3;Sem Regulador;65.41;104.39;2.4751;3.0396;Falha Coord (M < J)
IEC_C3;Sem Regulador e Sem Terra;65.41;104.39;2.4751;3.0396;Falha Coord (M < J)
IEEE_U1;Com Regulador e Com Terra;68.47;109.16;0.6542;0.7056;Falha Coord (M < J)
IEEE_U1;Sem Terra;69.24;110.69;0.6486;0.6975;Falha Coord (M < J)
IEEE_U1;Sem Regulador;65.41;104.39;0.6784;0.7334;Falha Coord (M < J)
IEEE_U1;Sem Regulador e Sem Terra;65.41;104.39;0.6784;0.7334;Falha Coord (M < J)
IEEE_U2;Com Regulador e Com Terra;68.47;109.16;0.6961;0.8214;Falha Coord (M < J)
IEEE_U2;Sem Terra;69.24;110.69;0.6829;0.8009;Falha Coord (M < J)
IEEE_U2;Sem Regulador;65.41;104.39;0.7540;0.8924;Falha Coord (M < J)
IEEE_U2;Sem Regulador e Sem Terra;65.41;104.39;0.7540;0.8924;Falha Coord (M < J)
IEEE_U3;Com Regulador e Com Terra;68.47;109.16;0.8256;1.0059;Falha Coord (M < J)
IEEE_U3;Sem Terra;69.24;110.69;0.8067;0.9764;Falha Coord (M < J)
IEEE_U3;Sem Regulador;65.41;104.39;0.9090;1.1080;Falha Coord (M < J)
IEEE_U3;Sem Regulador e Sem Terra;65.41;104.39;0.9090;1.1080;Falha Coord (M < J)
