Curva;Caso;Icc_Antes_Trafo(A);Icc_Depois_Trafo(A);Tempo_Antes(s);Tempo_Depois(s);Status
IEC_C1;Com Regulador e Com Terra;70.63;112.18;1.6436;1.7821;Falha Coord (M < J)
IEC_C1;Sem Terra;70.69;112.44;1.6423;1.7784;Falha Coord (M < J)
IEC_C1;Sem Regulador;68.65;108.77;1.6819;1.8311;Falha Coord (M < J)
IEC_C1;Sem Regulador e Sem Terra;68.65;108.77;1.6819;1.8311;Falha Coord (M < J)
IEC_C2;Com Regulador e Com Terra;70.63;112.18;1.6000;1.8367;Falha Coord (M < J)
IEC_C2;Sem Terra;70.69;112.44;1.5979;1.8304;Falha Coord (M < J)
IEC_C2;Sem Regulador;68.65;108.77;1.6650;1.9214;Falha Coord (M < J)
IEC_C2;Sem Regulador e Sem Terra;68.65;108.77;1.6650;1.9214;Falha Coord (M < J)
IEC_C3;Com Regulador e Com Terra;70.63;112.18;2.0924;2.5883;Falha Coord (M < J)
IEC_C3;Sem Terra;70.69;112.44;2.0881;2.5749;Falha Coord (M < J)
IEC_C3;Sem Regulador;68.65;108.77;2.2260;2.7718;Falha Coord (M < J)
IEC_C3;Sem Regulador e Sem Terra;68.65;108.77;2.2260;2.7718;Falha Coord (M < J)
IEEE_U1;Com Regulador e Com Terra;70.63;112.18;0.6388;0.6898;Falha Coord (M < J)
IEEE_U1;Sem Terra;70.69;112.44;0.6383;0.6884;Falha Coord (M < J)
IEEE_U1;Sem Regulador;68.65;108.77;0.6529;0.7078;Falha Coord (M < J)
IEEE_U1;Sem Regulador e Sem Terra;68.65;108.77;0.6529;0.7078;Falha Coord (M < J)
IEEE_U2;Com Regulador e Com Terra;70.63;112.18;0.6602;0.7818;Falha Coord (M < J)
IEEE_U2;Sem Terra;70.69;112.44;0.6591;0.7785;Falha Coord (M < J)
IEEE_U2;Sem Regulador;68.65;108.77;0.6930;0.8267;Falha Coord (M < J)
IEEE_U2;Sem Regulador e Sem Terra;68.65;108.77;0.6930;0.8267;Falha Coord (M < J)
IEEE_U3;Com Regulador e Com Terra;70.63;112.18;0.7741;0.9489;Falha Coord (M < J)
IEEE_U3;Sem Terra;70.69;112.44;0.7726;0.9441;Falha Coord (M < J)
IEEE_U3;Sem Regulador;68.65;108.77;0.8212;1.0136;Falha Coord (M < J)
IEEE_U3;Sem Regulador e Sem Terra;68.65;108.77;0.8212;1.0136;Falha Coord (M < J)
