Topo,Reg,Barra,V_RMS
MRN,com_reg,800,14367.0875737514
MRN,com_reg,818,4954.36269653436
MRN,com_reg,820,4916.852193857259
MRN,com_reg,822,4912.110875138934
MRN,sem_reg,800,15087.47071665984
MRN,sem_reg,818,4864.20887735478
MRN,sem_reg,820,4826.155967199903
MRN,sem_reg,822,4821.325818564284
T2F,com_reg,800,26062.83508938341
T2F,com_reg,818,14255.171660998863
T2F,com_reg,820,13837.711148823093
T2F,com_reg,822,13778.374974930373
T2F,com_reg,T2F1,14388.923382197185
T2F,com_reg,T2F,14388.923382197185
T2F,sem_reg,800,26070.525123811105
T2F,sem_reg,818,13712.03421500126
T2F,sem_reg,820,13313.281520855016
T2F,sem_reg,822,13256.60380098513
T2F,sem_reg,T2F1,13843.056099234289
T2F,sem_reg,T2F,13843.056099234289
