barra,i_max_A,i_max_B,i_max_C,i_media_A,i_media_B,i_media_C,v_max_A,v_max_B,v_max_C
800,200.71,1.73,1.71,179.36,1.54,1.51,14687.05,17085.96,17085.31
818,201.27,0.0,0.0,179.69,0.0,0.0,9366.37,0.0,0.0
820,10.63,0.0,0.0,5.32,0.0,0.0,7767.2,0.0,0.0
822,5.32,0.0,0.0,2.66,0.0,0.0,7759.35,0.0,0.0
T2F,201.27,0.0,0.0,179.69,0.0,0.0,9424.17,0.0,0.0
T2F1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
800,3.57,2.37,2.52,3.39,2.08,2.14,780.54,28268.16,28330.35
818,3.08,0.0,0.0,2.83,0.0,0.0,641.99,0.0,0.0
820,10.58,0.0,0.0,0.49,0.0,0.0,591.46,0.0,0.0
822,5.29,0.0,0.0,0.25,0.0,0.0,632.33,0.0,0.0
T2F,3.08,0.0,0.0,2.83,0.0,0.0,643.01,0.0,0.0
T2F1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
