barra,i_max_A,i_max_B,i_max_C,i_media_A,i_media_B,i_media_C,v_max_A,v_max_B,v_max_C
800,3.57,2.37,2.52,3.39,2.08,2.14,780.54,28268.16,28330.35
818,3.08,0.0,0.0,2.83,0.0,0.0,641.99,0.0,0.0
820,10.58,0.0,0.0,0.49,0.0,0.0,591.46,0.0,0.0
822,5.29,0.0,0.0,0.25,0.0,0.0,632.33,0.0,0.0
T2F,3.08,0.0,0.0,2.83,0.0,0.0,643.01,0.0,0.0
T2F1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
800,3.65,2.49,2.61,3.56,2.18,2.25,747.11,29695.23,29765.43
818,3.35,0.0,0.0,3.22,0.0,0.0,640.67,0.0,0.0
820,10.58,0.0,0.0,0.5,0.0,0.0,600.06,0.0,0.0
822,5.29,0.0,0.0,0.25,0.0,0.0,640.59,0.0,0.0
T2F,3.35,0.0,0.0,3.22,0.0,0.0,641.72,0.0,0.0
T2F1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
