barra,i_max_A,i_max_B,i_max_C,i_media_A,i_media_B,i_media_C,v_max_A,v_max_B,v_max_C
800,113.27,87.48,97.32,73.17,62.68,64.94,29374.7,26137.18,29065.8
818,192.82,162.98,150.18,119.25,115.95,107.02,14735.66,16005.23,14254.82
820,9.45,9.39,9.16,7.67,7.57,7.15,14159.62,15638.7,13827.72
822,9.45,9.38,9.15,7.66,7.57,7.15,14077.69,15586.53,13767.11
T2F,105.41,85.27,94.25,68.1,61.3,63.31,30222.15,26353.71,26886.41
T2F1,194.68,164.6,151.65,121.15,117.8,108.76,14761.5,16226.96,14393.1
800,85.76,76.32,77.08,56.53,55.14,53.74,29374.7,26137.18,29097.49
818,145.73,131.13,131.84,92.1,94.79,94.67,14735.67,16005.23,14254.82
820,9.45,9.39,9.16,6.69,6.8,6.71,14159.52,15638.62,13827.65
822,9.45,9.38,9.15,6.68,6.8,6.7,14077.59,15586.45,13767.04
T2F,80.0,74.45,74.79,52.73,53.99,52.58,30222.16,26353.71,26886.41
T2F1,147.85,132.88,133.45,94.17,96.76,96.51,14761.51,16226.96,14393.1
800,80.68,73.87,73.12,53.44,53.48,51.54,29374.7,26137.18,29104.63
818,136.89,125.06,127.71,87.05,90.72,91.89,14735.67,16005.23,14254.82
820,129.03,118.12,120.94,78.48,82.24,83.67,14159.52,15638.62,13827.65
822,129.02,118.12,120.93,78.48,82.24,83.67,14077.56,15586.43,13767.02
T2F,75.31,72.08,70.99,49.88,52.39,50.47,30222.16,26353.71,26886.42
T2F1,139.06,126.85,129.35,89.14,92.71,93.75,14761.51,16226.96,14393.1
