barra,i_max_A,i_max_B,i_max_C,i_media_A,i_media_B,i_media_C,v_max_A,v_max_B,v_max_C
800,85.76,76.32,77.08,56.53,55.14,53.74,29374.7,26137.18,29097.49
818,145.73,131.13,131.84,92.1,94.79,94.67,14735.67,16005.23,14254.82
820,9.45,9.39,9.16,6.69,6.8,6.71,14159.52,15638.62,13827.65
822,9.45,9.38,9.15,6.68,6.8,6.7,14077.59,15586.45,13767.04
T2F,80.0,74.45,74.79,52.73,53.99,52.58,30222.16,26353.71,26886.41
T2F1,147.85,132.88,133.45,94.17,96.76,96.51,14761.51,16226.96,14393.1
800,85.76,40.18,43.45,56.57,30.27,29.67,29374.69,26137.19,29527.63
818,123.98,122.79,20.71,80.87,82.79,20.6,14735.67,16005.3,16149.23
820,9.5,9.39,9.16,8.11,6.73,9.1,14159.52,15638.7,14764.5
822,9.5,9.38,9.15,8.1,6.73,9.1,14077.59,15586.53,14703.53
T2F,79.99,40.39,41.77,52.76,30.41,28.59,30222.16,26353.81,28448.94
T2F1,126.12,124.65,23.08,82.79,84.8,22.96,14761.51,16226.99,16325.4
800,41.13,75.43,39.36,31.93,54.55,30.41,29374.7,26137.18,29427.4
818,23.61,113.03,115.1,20.99,82.53,83.69,15693.44,16005.23,14254.85
820,10.36,9.39,9.16,9.23,8.24,6.6,14956.32,15638.62,13827.71
822,10.35,9.38,9.15,9.22,8.23,6.59,14868.79,15586.45,13767.1
T2F,37.54,73.62,39.43,29.42,53.44,30.53,30222.2,26353.7,30190.33
T2F1,26.45,114.61,116.65,23.47,84.38,85.49,15727.82,16226.96,14393.11
800,45.85,38.87,78.27,32.17,29.93,54.26,29374.71,26137.19,28825.02
818,122.01,21.38,113.25,83.45,21.28,81.65,14765.98,16005.36,14254.82
820,9.45,9.46,9.16,6.74,9.41,8.18,14313.45,15638.82,13827.65
822,9.45,9.46,9.15,6.74,9.4,8.17,14232.8,15586.65,13767.04
T2F,43.89,37.18,75.92,30.75,28.96,53.07,30222.27,26353.77,26886.41
T2F1,124.0,23.8,114.23,85.4,23.71,83.37,14787.8,16227.07,14393.1
