barra,i_max_A,i_max_B,i_max_C,i_media_A,i_media_B,i_media_C,v_max_A,v_max_B,v_max_C
800,85.76,76.32,77.08,56.53,55.14,53.74,29374.7,26137.18,29097.49
818,145.73,131.13,131.84,92.1,94.79,94.67,14735.67,16005.23,14254.82
820,9.45,9.39,9.16,6.69,6.8,6.71,14159.52,15638.62,13827.65
822,9.45,9.38,9.15,6.68,6.8,6.7,14077.59,15586.45,13767.04
T2F,80.0,74.45,74.79,52.73,53.99,52.58,30222.16,26353.71,26886.41
T2F1,147.85,132.88,133.45,94.17,96.76,96.51,14761.51,16226.96,14393.1
800,209.38,1.66,1.66,185.24,1.47,1.44,13913.83,16272.17,16271.75
818,192.85,0.0,0.0,171.41,0.0,0.0,8989.6,0.0,0.0
820,10.62,0.0,0.0,5.09,0.0,0.0,7444.28,0.0,0.0
822,5.31,0.0,0.0,2.55,0.0,0.0,7436.75,0.0,0.0
T2F,192.85,0.0,0.0,171.41,0.0,0.0,9045.48,0.0,0.0
T2F1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
