barra,i_max_A,i_max_B,i_max_C,i_media_A,i_media_B,i_media_C,v_max_A,v_max_B,v_max_C
800,200.69,2.51,2.71,124.38,1.54,1.54,15074.16,17090.51,17085.31
818,201.24,0.0,0.0,124.76,0.0,0.0,14755.2,0.0,0.0
820,12.14,0.0,0.0,7.1,0.0,0.0,14662.79,0.0,0.0
822,6.08,0.0,0.0,3.56,0.0,0.0,14651.11,0.0,0.0
T2F,201.24,0.0,0.0,124.76,0.0,0.0,14758.99,0.0,0.0
T2F1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
800,14.94,7.52,7.82,5.35,2.87,3.12,106902.54,100810.1,113162.69
818,16.67,0.0,0.0,5.92,0.0,0.0,115332.56,0.0,0.0
820,10.35,0.0,0.0,1.99,0.0,0.0,115283.78,0.0,0.0
822,5.3,0.0,0.0,1.03,0.0,0.0,115277.24,0.0,0.0
T2F,16.65,0.0,0.0,5.91,0.0,0.0,115334.39,0.0,0.0
T2F1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
