barra,i_max_A,i_max_B,i_max_C,i_media_A,i_media_B,i_media_C,v_max_A,v_max_B,v_max_C
800,14.94,7.52,7.82,5.35,2.87,3.12,106902.54,100810.1,113162.69
818,16.67,0.0,0.0,5.92,0.0,0.0,115332.56,0.0,0.0
820,10.35,0.0,0.0,1.99,0.0,0.0,115283.78,0.0,0.0
822,5.3,0.0,0.0,1.03,0.0,0.0,115277.24,0.0,0.0
T2F,16.65,0.0,0.0,5.91,0.0,0.0,115334.39,0.0,0.0
T2F1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
800,10.45,5.05,6.72,4.99,2.7,2.99,99076.58,91851.97,104992.49
818,13.93,0.0,0.0,5.9,0.0,0.0,98868.3,0.0,0.0
820,10.38,0.0,0.0,2.28,0.0,0.0,98819.2,0.0,0.0
822,5.3,0.0,0.0,1.17,0.0,0.0,98812.56,0.0,0.0
T2F,13.9,0.0,0.0,5.89,0.0,0.0,98870.23,0.0,0.0
T2F1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
