barra,i_max_A,i_max_B,i_max_C,i_media_A,i_media_B,i_media_C,v_max_A,v_max_B,v_max_C
800,85.76,76.32,77.08,56.53,55.14,53.74,29374.7,26137.18,29097.49
818,145.73,131.13,131.84,92.1,94.79,94.67,14735.67,16005.23,14254.82
820,9.45,9.39,9.16,6.69,6.8,6.71,14159.52,15638.62,13827.65
822,9.45,9.38,9.15,6.68,6.8,6.7,14077.59,15586.45,13767.04
T2F,80.0,74.45,74.79,52.73,53.99,52.58,30222.16,26353.71,26886.41
T2F1,147.85,132.88,133.45,94.17,96.76,96.51,14761.51,16226.96,14393.1
800,207.91,2.43,2.61,128.41,1.47,1.47,14351.43,16276.42,16271.75
818,192.8,0.0,0.0,119.12,0.0,0.0,15147.1,0.0,0.0
820,11.96,0.0,0.0,6.86,0.0,0.0,15053.41,0.0,0.0
822,5.99,0.0,0.0,3.44,0.0,0.0,15041.33,0.0,0.0
T2F,192.8,0.0,0.0,119.12,0.0,0.0,15150.86,0.0,0.0
T2F1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
